Loaded symbols: AMZN, FLOT, FLRN, FLTR, FTLS, FTSL, GBIL, GLD, GOOG, GSY, IAK, IBIT, IONQ, ITA, IWM, IYW, JAAA, JEPI, JPST, MINT, MO, MSFT, NEAR, NVDA, PAXS, PLTR, QQQ, QTUM, SCHD, SHY, SHYG, SPY, STWD, TSLA, VIG, VNQ, VRIG, VCSH, VNQ, XDTE, XLP
Objective: best total returns while minimizing risk, giving equal importance to both return and risk

SYMB1 SYMB2  WINNER  WCOUNT  COST($)
 AMZN  FLOT    AMZN     1.0     0.00
 AMZN  FLRN    AMZN     2.0     0.00
 AMZN  FLTR    AMZN     3.0     0.01
 AMZN  FTLS    AMZN     4.0     0.01
 AMZN  FTSL    AMZN     5.0     0.01
 AMZN  GBIL    GBIL     1.0     0.01
 AMZN   GLD    AMZN     6.0     0.01
 AMZN  GOOG    AMZN     7.0     0.01
 AMZN   GSY    AMZN     8.0     0.02
 AMZN   IAK    AMZN     9.0     0.02
 AMZN  IBIT    AMZN    10.0     0.02
 AMZN  IONQ    AMZN    11.0     0.02
 AMZN   ITA    AMZN    12.0     0.02
 AMZN   IWM    AMZN    13.0     0.02
 AMZN   IYW    AMZN    14.0     0.03
 AMZN  JAAA    AMZN    15.0     0.03
 AMZN  JEPI    AMZN    16.0     0.03
 AMZN  JPST    AMZN    17.0     0.03
 AMZN  MINT    AMZN    18.0     0.03
 AMZN    MO    AMZN    19.0     0.04
 AMZN  MSFT    MSFT     1.0     0.04
 AMZN  NEAR    AMZN    20.0     0.04
 AMZN  NVDA    NVDA     1.0     0.04
 AMZN  PAXS    AMZN    21.0     0.04
 AMZN  PLTR    AMZN    22.0     0.04
 AMZN   QQQ    AMZN    23.0     0.05
 AMZN  QTUM    AMZN    24.0     0.05
 AMZN  SCHD    SCHD     1.0     0.05
 AMZN   SHY    AMZN    25.0     0.05
 AMZN  SHYG    AMZN    26.0     0.05
 AMZN   SPY    AMZN    27.0     0.05
 AMZN  STWD    AMZN    28.0     0.06
 AMZN  TSLA    AMZN    29.0     0.06
 AMZN   VIG    AMZN    30.0     0.06
 AMZN   VNQ    AMZN    31.0     0.06
 AMZN  VRIG    AMZN    32.0     0.06
 AMZN  VCSH    AMZN    33.0     0.06
 AMZN   VNQ    AMZN    34.0     0.07
 AMZN  XDTE    AMZN    35.0     0.07
 AMZN   XLP    AMZN    36.0     0.07
 FLOT  FLRN    FLOT     1.0     0.07
 FLOT  FLTR    FLOT     2.0     0.07
 FLOT  FTLS    FLOT     3.0     0.08
 FLOT  FTSL    FLOT     4.0     0.08
 FLOT  GBIL    FLOT     5.0     0.08
 FLOT   GLD    FLOT     6.0     0.08
 FLOT  GOOG    GOOG     1.0     0.08
 FLOT   GSY    FLOT     7.0     0.08
 FLOT   IAK    FLOT     8.0     0.09
 FLOT  IBIT    FLOT     9.0     0.09
 FLOT  IONQ    FLOT    10.0     0.09
 FLOT   ITA     ITA     1.0     0.09
 FLOT   IWM     IWM     1.0     0.09
 FLOT   IYW     IYW     1.0     0.09
 FLOT  JAAA    JAAA     1.0     0.10
 FLOT  JEPI    JEPI     1.0     0.10
 FLOT  JPST    JPST     1.0     0.10
 FLOT  MINT    FLOT    11.0     0.10
 FLOT    MO    FLOT    12.0     0.10
 FLOT  MSFT    MSFT     2.0     0.11
 FLOT  NEAR    FLOT    13.0     0.11
 FLOT  NVDA    NVDA     2.0     0.11
 FLOT  PAXS    FLOT    14.0     0.11
 FLOT  PLTR    PLTR     1.0     0.11
 FLOT   QQQ     QQQ     1.0     0.11
 FLOT  QTUM    FLOT    15.0     0.12
 FLOT  SCHD    SCHD     2.0     0.12
 FLOT   SHY    FLOT    16.0     0.12
 FLOT  SHYG    FLOT    17.0     0.12
 FLOT   SPY     SPY     1.0     0.12
 FLOT  STWD    STWD     1.0     0.12
 FLOT  TSLA    FLOT    18.0     0.13
 FLOT   VIG     VIG     1.0     0.13
 FLOT   VNQ     VNQ     1.0     0.13
 FLOT  VRIG    FLOT    19.0     0.13
 FLOT  VCSH    FLOT    20.0     0.13
 FLOT   VNQ     VNQ     1.0     0.14
 FLOT  XDTE    FLOT    21.0     0.14
 FLOT   XLP     XLP     1.0     0.14
 FLRN  FLTR    FLRN     1.0     0.14
 FLRN  FTLS    FLRN     2.0     0.14
 FLRN  FTSL    FLRN     3.0     0.14
 FLRN  GBIL    GBIL     2.0     0.15
 FLRN   GLD     GLD     1.0     0.15
 FLRN  GOOG    GOOG     2.0     0.15
 FLRN   GSY    FLRN     4.0     0.15
