Loaded symbols: AMZN, FLOT, FLRN, FLTR, FTLS, FTSL, GBIL, GLD, GOOG, GSY, IAK, IBIT, IONQ, ITA, IWM, IYW, JAAA, JEPI, JPST, MINT, MO, MSFT, NEAR, NVDA, PAXS, PLTR, QQQ, QTUM, SCHD, SHY, SHYG, SPY, STWD, TSLA, VIG, VNQ, VRIG, VCSH, VNQ, XDTE, XLP
Objective: best total returns not concerning about risk

SYMB1 SYMB2  WINNER  WCOUNT  COST($)
 AMZN  FLOT    AMZN     1.0     0.00
 AMZN  FLRN    AMZN     2.0     0.00
 AMZN  FLTR    AMZN     3.0     0.01
 AMZN  FTLS    AMZN     4.0     0.01
 AMZN  FTSL    AMZN     5.0     0.01
 AMZN  GBIL    AMZN     6.0     0.01
 AMZN   GLD    AMZN     7.0     0.01
 AMZN  GOOG    AMZN     8.0     0.01
 AMZN   GSY    AMZN     9.0     0.02
 AMZN   IAK    AMZN    10.0     0.02
 AMZN  IBIT    AMZN    11.0     0.02
 AMZN  IONQ    AMZN    12.0     0.02
 AMZN   ITA    AMZN    13.0     0.02
 AMZN   IWM    AMZN    14.0     0.02
 AMZN   IYW    AMZN    15.0     0.03
 AMZN  JAAA    AMZN    16.0     0.03
 AMZN  JEPI    AMZN    17.0     0.03
 AMZN  JPST    AMZN    18.0     0.03
 AMZN  MINT    AMZN    19.0     0.03
 AMZN    MO    AMZN    20.0     0.03
 AMZN  MSFT    MSFT     1.0     0.04
 AMZN  NEAR    AMZN    21.0     0.04
 AMZN  NVDA    NVDA     1.0     0.04
 AMZN  PAXS    AMZN    22.0     0.04
 AMZN  PLTR    AMZN    23.0     0.04
 AMZN   QQQ    AMZN    24.0     0.04
 AMZN  QTUM    AMZN    25.0     0.05
 AMZN  SCHD    AMZN    26.0     0.05
 AMZN   SHY    AMZN    27.0     0.05
 AMZN  SHYG    AMZN    28.0     0.05
 AMZN   SPY    AMZN    29.0     0.05
 AMZN  STWD    AMZN    30.0     0.05
 AMZN  TSLA    AMZN    31.0     0.06
 AMZN   VIG    AMZN    32.0     0.06
 AMZN   VNQ    AMZN    33.0     0.06
 AMZN  VRIG    AMZN    34.0     0.06
 AMZN  VCSH    AMZN    35.0     0.06
 AMZN   VNQ    AMZN    36.0     0.07
 AMZN  XDTE    AMZN    37.0     0.07
 AMZN   XLP    AMZN    38.0     0.07
 FLOT  FLRN    FLOT     1.0     0.07
 FLOT  FLTR    FLOT     2.0     0.07
 FLOT  FTLS    FLOT     3.0     0.07
 FLOT  FTSL    FLOT     4.0     0.08
 FLOT  GBIL    FLOT     5.0     0.08
 FLOT   GLD     GLD     1.0     0.08
 FLOT  GOOG    GOOG     1.0     0.08
 FLOT   GSY    FLOT     6.0     0.08
 FLOT   IAK    FLOT     7.0     0.08
 FLOT  IBIT    IBIT     1.0     0.09
 FLOT  IONQ    IONQ     1.0     0.09
 FLOT   ITA     ITA     1.0     0.09
 FLOT   IWM     IWM     1.0     0.09
 FLOT   IYW     IYW     1.0     0.09
 FLOT  JAAA    JAAA     1.0     0.09
 FLOT  JEPI    JEPI     1.0     0.10
 FLOT  JPST    JPST     1.0     0.10
 FLOT  MINT    FLOT     8.0     0.10
 FLOT    MO      MO     1.0     0.10
 FLOT  MSFT    MSFT     2.0     0.10
 FLOT  NEAR    FLOT     9.0     0.10
 FLOT  NVDA    NVDA     2.0     0.11
 FLOT  PAXS    FLOT    10.0     0.11
 FLOT  PLTR    PLTR     1.0     0.11
 FLOT   QQQ     QQQ     1.0     0.11
 FLOT  QTUM    QTUM     1.0     0.11
 FLOT  SCHD    SCHD     1.0     0.11
 FLOT   SHY    FLOT    11.0     0.12
 FLOT  SHYG    FLOT    12.0     0.12
 FLOT   SPY     SPY     1.0     0.12
 FLOT  STWD    STWD     1.0     0.12
 FLOT  TSLA    TSLA     1.0     0.12
 FLOT   VIG     VIG     1.0     0.13
 FLOT   VNQ     VNQ     1.0     0.13
 FLOT  VRIG    FLOT    13.0     0.13
 FLOT  VCSH    FLOT    14.0     0.13
 FLOT   VNQ     VNQ     1.0     0.13
 FLOT  XDTE    XDTE     1.0     0.13
 FLOT   XLP     XLP     1.0     0.14
 FLRN  FLTR    FLRN     1.0     0.14
 FLRN  FTLS    FTLS     1.0     0.14
 FLRN  FTSL    FTSL     1.0     0.14
 FLRN  GBIL    GBIL     1.0     0.14
 FLRN   GLD     GLD     2.0     0.14
 FLRN  GOOG    GOOG     2.0     0.15
 FLRN   GSY     GSY     1.0     0.15
 FLRN   IAK    FLRN     2.0     0.15
