Loaded symbols: AMZN, FLOT, FLRN, FLTR, FTLS, FTSL, GBIL, GLD, GOOG, GSY, IAK, IBIT, IONQ, ITA, IWM, IYW, JAAA, JEPI, JPST, MINT, MO, MSFT, NEAR, NVDA, PAXS, PLTR, QQQ, QTUM, SCHD, SHY, SHYG, SPY, STWD, TSLA, VIG, VNQ, VRIG, VCSH, VNQ, XDTE, XLP
Objective: good total returns while minimizing risk, giving highest priority to minimization of risk

SYMB1 SYMB2  WINNER  WCOUNT  COST($)
 AMZN  FLOT    FLOT     1.0     0.00
 AMZN  FLRN    FLRN     1.0     0.00
 AMZN  FLTR    FLTR     1.0     0.01
 AMZN  FTLS    FTLS     1.0     0.01
 AMZN  FTSL    FTSL     1.0     0.01
 AMZN  GBIL    GBIL     1.0     0.01
 AMZN   GLD     GLD     1.0     0.01
 AMZN  GOOG    AMZN     1.0     0.01
 AMZN   GSY     GSY     1.0     0.02
 AMZN   IAK     IAK     1.0     0.02
 AMZN  IBIT    IBIT     1.0     0.02
 AMZN  IONQ    AMZN     2.0     0.02
 AMZN   ITA     ITA     1.0     0.02
 AMZN   IWM     IWM     1.0     0.02
 AMZN   IYW     IYW     1.0     0.03
 AMZN  JAAA    JAAA     1.0     0.03
 AMZN  JEPI    JEPI     1.0     0.03
 AMZN  JPST    JPST     1.0     0.03
 AMZN  MINT    MINT     1.0     0.03
 AMZN    MO      MO     1.0     0.03
 AMZN  MSFT    MSFT     1.0     0.04
 AMZN  NEAR    AMZN     3.0     0.04
 AMZN  NVDA    AMZN     4.0     0.04
 AMZN  PAXS    PAXS     1.0     0.04
 AMZN  PLTR    AMZN     5.0     0.04
 AMZN   QQQ     QQQ     1.0     0.05
 AMZN  QTUM    AMZN     6.0     0.05
 AMZN  SCHD    SCHD     1.0     0.05
 AMZN   SHY     SHY     1.0     0.05
 AMZN  SHYG    SHYG     1.0     0.05
 AMZN   SPY     SPY     1.0     0.05
 AMZN  STWD    STWD     1.0     0.06
 AMZN  TSLA    AMZN     7.0     0.06
 AMZN   VIG     VIG     1.0     0.06
 AMZN   VNQ     VNQ     1.0     0.06
 AMZN  VRIG    VRIG     1.0     0.06
 AMZN  VCSH    VCSH     1.0     0.06
 AMZN   VNQ     VNQ     1.0     0.07
 AMZN  XDTE    AMZN     8.0     0.07
 AMZN   XLP     XLP     1.0     0.07
 FLOT  FLRN    FLOT     2.0     0.07
 FLOT  FLTR    FLOT     3.0     0.07
 FLOT  FTLS    FLOT     4.0     0.08
 FLOT  FTSL    FLOT     5.0     0.08
 FLOT  GBIL    GBIL     2.0     0.08
 FLOT   GLD    FLOT     6.0     0.08
 FLOT  GOOG    FLOT     7.0     0.08
 FLOT   GSY    FLOT     8.0     0.08
 FLOT   IAK    FLOT     9.0     0.09
 FLOT  IBIT    FLOT    10.0     0.09
 FLOT  IONQ    FLOT    11.0     0.09
 FLOT   ITA    FLOT    12.0     0.09
 FLOT   IWM    FLOT    13.0     0.09
 FLOT   IYW    FLOT    14.0     0.09
 FLOT  JAAA    FLOT    15.0     0.10
 FLOT  JEPI    FLOT    16.0     0.10
 FLOT  JPST    FLOT    17.0     0.10
 FLOT  MINT    FLOT    18.0     0.10
 FLOT    MO    FLOT    19.0     0.10
 FLOT  MSFT    FLOT    20.0     0.10
 FLOT  NEAR    FLOT    21.0     0.11
 FLOT  NVDA    FLOT    22.0     0.11
 FLOT  PAXS    FLOT    23.0     0.11
 FLOT  PLTR    FLOT    24.0     0.11
 FLOT   QQQ    FLOT    25.0     0.11
 FLOT  QTUM    FLOT    26.0     0.12
 FLOT  SCHD    FLOT    27.0     0.12
 FLOT   SHY     SHY     2.0     0.12
 FLOT  SHYG    FLOT    28.0     0.12
 FLOT   SPY    FLOT    29.0     0.12
 FLOT  STWD    FLOT    30.0     0.12
 FLOT  TSLA    FLOT    31.0     0.13
 FLOT   VIG    FLOT    32.0     0.13
 FLOT   VNQ    FLOT    33.0     0.13
 FLOT  VRIG    FLOT    34.0     0.13
 FLOT  VCSH    FLOT    35.0     0.13
 FLOT   VNQ    FLOT    36.0     0.13
 FLOT  XDTE    FLOT    37.0     0.14
 FLOT   XLP    FLOT    38.0     0.14
 FLRN  FLTR    FLRN     2.0     0.14
 FLRN  FTLS    FLRN     3.0     0.14
 FLRN  FTSL    FLRN     4.0     0.14
 FLRN  GBIL    GBIL     3.0     0.15
 FLRN   GLD    FLRN     5.0     0.15
 FLRN  GOOG    FLRN     6.0     0.15
 FLRN   GSY    FLRN     7.0     0.15
 FLRN   IAK    FLRN     8.0     0.15
 FLRN  IBIT    FLRN     9.0     0.15
 FLRN  IONQ    FLRN    10.0     0.16
 FLRN   ITA    FLRN    11.0     0.16
 FLRN   IWM    FLRN    12.0     0.16
 FLRN   IYW    FLRN    13.0     0.16
 FLRN  JAAA    FLRN    14.0     0.16
 FLRN  JEPI    FLRN    15.0     0.16
 FLRN  JPST    FLRN    16.0     0.17
 FLRN  MINT    FLRN    17.0     0.17
 FLRN    MO    FLRN    18.0     0.17
 FLRN  MSFT    FLRN    19.0     0.17
 FLRN  NEAR    FLRN    20.0     0.17
 FLRN  NVDA    FLRN    21.0     0.17
